CR_IoT,class,snr_dB,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149,e150,e151,e152,e153,e154,e155,e156,e157,e158,e159,e160,e161,e162,e163,e164,e165,e166,e167,e168,e169,e170,e171,e172,e173,e174,e175,e176,e177,e178,e179,e180,e181,e182,e183,e184,e185,e186,e187,e188,e189,e190,e191,e192,e193,e194,e195,e196,e197,e198,e199,e200,e201,e202,e203,e204,e205,e206,e207,e208,e209,e210,e211,e212,e213,e214,e215,e216,e217,e218,e219,e220,e221,e222,e223,e224,e225,e226,e227,e228,e229,e230,e231,e232,e233,e234,e235,e236,e237,e238,e239,e240,e241,e242,e243,e244,e245,e246,e247,e248,e249,e250,e251,e252,e253,e254,e255,e256,e257,e258,e259,e260,e261,e262,e263,e264,e265,e266,e267,e268,e269,e270,e271,e272,e273,e274,e275,e276,e277,e278,e279,e280,e281,e282,e283,e284,e285,e286,e287,e288,e289,e290,e291,e292,e293,e294,e295,e296,e297,e298,e299,e300,e301,e302,e303,e304,e305,e306,e307,e308,e309,e310,e311,e312,e313,e314,e315,e316,e317,e318,e319,e320,e321,e322,e323,e324,e325,e326,e327,e328,e329,e330,e331,e332,e333,e334,e335,e336,e337,e338,e339,e340,e341,e342,e343,e344,e345,e346,e347,e348,e349,e350,e351,e352,e353,e354,e355,e356,e357,e358,e359,e360,e361,e362,e363,e364,e365,e366,e367,e368,e369,e370,e371,e372,e373,e374,e375,e376,e377,e378,e379,e380,e381,e382,e383,e384,e385,e386,e387,e388,e389,e390,e391,e392,e393,e394,e395,e396,e397,e398,e399,e400,e401,e402,e403,e404,e405,e406,e407,e408,e409,e410,e411,e412,e413,e414,e415,e416,e417,e418,e419,e420,e421,e422,e423,e424,e425,e426,e427,e428,e429,e430,e431,e432,e433,e434,e435,e436,e437,e438,e439,e440,e441,e442,e443,e444,e445,e446,e447,e448,e449,e450,e451,e452,e453,e454,e455,e456,e457,e458,e459,e460,e461,e462,e463,e464,e465,e466,e467,e468,e469,e470,e471,e472,e473,e474,e475,e476,e477,e478,e479,e480,e481,e482,e483,e484,e485,e486,e487,e488,e489,e490,e491,e492,e493,e494,e495,e496,e497,e498,e499,e500,e501,e502,e503,e504,e505,e506,e507,e508,e509,e510,e511,e512,e513,e514,e515,e516,e517,e518,e519,e520,e521,e522,e523,e524,e525,e526,e527,e528,e529,e530,e531,e532,e533,e534,e535,e536,e537,e538,e539,e540,e541,e542,e543,e544,e545,e546,e547,e548,e549,e550,e551,e552,e553,e554,e555,e556,e557,e558,e559,e560,e561,e562,e563,e564,e565,e566,e567,e568,e569,e570,e571,e572,e573,e574,e575,e576,e577,e578,e579,e580,e581,e582,e583,e584,e585,e586,e587,e588,e589,e590,e591,e592,e593,e594,e595,e596,e597,e598,e599,e600,e601,e602,e603,e604,e605,e606,e607,e608,e609,e610,e611,e612,e613,e614,e615,e616,e617,e618,e619,e620,e621,e622,e623,e624,e625,e626,e627,e628,e629,e630,e631,e632,e633,e634,e635,e636,e637,e638,e639,e640,e641,e642,e643,e644,e645,e646,e647,e648,e649,e650,e651,e652,e653,e654,e655,e656,e657,e658,e659,e660,e661,e662,e663,e664,e665,e666,e667,e668,e669,e670,e671,e672,e673,e674,e675,e676,e677,e678,e679,e680,e681,e682,e683,e684,e685,e686,e687,e688,e689,e690,e691,e692,e693,e694,e695,e696,e697,e698,e699,e700,e701,e702,e703,e704,e705,e706,e707,e708,e709,e710,e711,e712,e713,e714,e715,e716,e717,e718,e719,e720,e721,e722,e723,e724,e725,e726,e727,e728,e729,e730,e731,e732,e733,e734,e735,e736,e737,e738,e739,e740,e741,e742,e743,e744,e745,e746,e747,e748,e749,e750,e751,e752,e753,e754,e755,e756,e757,e758,e759,e760,e761,e762,e763,e764,e765,e766,e767,e768,e769,e770,e771,e772,e773,e774,e775,e776,e777,e778,e779,e780,e781,e782,e783,e784,e785,e786,e787,e788,e789,e790,e791,e792,e793,e794,e795,e796,e797,e798,e799,e800,e801,e802,e803,e804,e805,e806,e807,e808,e809,e810,e811,e812,e813,e814,e815,e816,e817,e818,e819,e820,e821,e822,e823,e824,e825,e826,e827,e828,e829,e830,e831,e832,e833,e834,e835,e836,e837,e838,e839,e840,e841,e842,e843,e844,e845,e846,e847,e848,e849,e850,e851,e852,e853,e854,e855,e856,e857,e858,e859,e860,e861,e862,e863,e864,e865,e866,e867,e868,e869,e870,e871,e872,e873,e874,e875,e876,e877,e878,e879,e880,e881,e882,e883,e884,e885,e886,e887,e888,e889,e890,e891,e892,e893,e894,e895,e896,e897,e898,e899,e900,e901,e902,e903,e904,e905,e906,e907,e908,e909,e910,e911,e912,e913,e914,e915,e916,e917,e918,e919,e920,e921,e922,e923,e924,e925,e926,e927,e928,e929,e930,e931,e932,e933,e934,e935,e936,e937,e938,e939,e940,e941,e942,e943,e944,e945,e946,e947,e948,e949,e950,e951,e952,e953,e954,e955,e956,e957,e958,e959,e960,e961,e962,e963,e964,e965,e966,e967,e968,e969,e970,e971,e972,e973,e974,e975,e976,e977,e978,e979,e980,e981,e982,e983,e984,e985,e986,e987,e988,e989,e990,e991,e992,e993,e994,e995,e996,e997,e998,e999,e1000
1,0,-7.6,120.13,129.78,121.72,126.13,116.54,117.9,107.12,115.41,114.84,114.65,112.57,119.08,112.02,115.09,110.39,117.88,116.62,114.86,127.66,113.23,125.73,114.31,109.35,117.56,116.31,117.69,108.77,118.85,114.86,123.87,128.17,128.27,123.51,118.44,120.96,108.48,116.14,112.79,119.59,118.22,118.43,111.12,121.47,122.87,119.64,112.08,114.38,102.38,117.53,118.19,119.56,121.83,117.4,111.65,118.63,130.39,112.6,115.86,113.58,128.79,122,107.41,124.66,118.96,111.39,110.51,106.05,108.95,126.13,112.28,120.93,122.89,114.42,118.33,116.77,113.42,112.02,124.97,119.37,118.27,119.47,124.67,121.45,116.11,110.73,121.18,111.53,121.21,122.38,115.25,110.4,118.72,120.89,121.49,112.26,119.74,118.3,117.32,110.25,117.49,116.5,118.31,115.95,121.98,114.95,122.08,115.31,117.1,116.86,117.04,121.1,112.85,119.86,112.97,125.39,112.83,118.63,110.01,124.45,110.97,118.31,121.13,110.79,115.01,118.76,115.02,116.16,113.61,114.07,123.41,118.75,118.55,115.99,119.52,118.44,114.53,119.51,127.56,107.02,124.12,114.49,117.22,114.83,121.49,116.07,106.16,111.83,116.79,110.61,113.91,113.46,103.55,121.27,118.54,117.49,119.31,118.98,116.9,115.24,116.33,111.59,113.86,110.24,130.18,117.14,113.85,119.63,129.16,115.84,112.31,118.84,116.93,123.08,113.35,128.31,113.91,118.03,120.26,109.23,115.97,114.67,115.71,114.91,120.39,124.96,116.11,115.46,125.37,111.72,116.93,124.15,125.8,101.3,121.16,113.03,114.19,115.75,116.37,122.87,112.01,120.03,120.45,119.1,116.5,109.77,123.44,122.25,122.17,112.65,114.99,119.5,120.04,119.41,120.96,118.1,110.95,105.65,121.18,115.28,125.59,120.74,108.61,118.03,107.48,122.47,114.84,116.51,124.84,115.58,126.04,116.33,119,118.85,114.82,120.56,114.38,121.09,116.89,105.81,123.17,112.05,121.55,124.18,116.97,124.12,108.99,119.31,117.53,122.71,117.14,117.12,110.03,104.45,120.18,112.15,115.46,123.65,116.35,125.08,115.76,117.35,128.8,121.56,111.68,123.29,114.43,113.28,112.59,119.97,119.82,119.54,120.09,117.38,117.16,108.87,113.86,115.04,107.34,116.41,120.02,121.63,122.62,117.92,110.82,122.34,109.93,119.42,115.36,121.04,115.48,119.52,124.51,120.15,117.98,116.92,116.57,126.13,122.18,113.26,112.12,120.13,113.83,118.77,131.56,103.75,117.21,111.6,121.9,125.09,116.42,119.25,124.74,124.94,115.79,119.08,123.99,109.4,116.69,119.93,128.87,123.24,116.61,128.93,120.27,112.66,123.68,114.96,119.69,114.29,126.39,131.62,111.69,121.66,122.57,119.76,113.05,123.62,123.92,121.64,119.59,123.48,118.2,110.01,124.59,114.14,120.84,117.37,112.02,116.63,122.42,118.73,114.3,118.16,116.33,116.13,113.94,115.03,114.06,121.88,122.13,114.43,109.13,112.94,114.3,116.29,114.87,125.99,118.94,119.64,120.29,117.92,118.64,112.88,119.42,113.73,116.87,118.48,116.83,117.44,120.88,116.14,113.03,112.53,114.74,116,117.91,118.33,120.04,115.71,114.38,106.15,113.79,115.76,115.36,123.98,118.93,116.22,110.35,121.14,120.69,115.16,118.67,116.69,118.13,116.69,109.36,116,103.89,115.56,117.9,117.66,113.98,118.79,127.14,114.52,118.83,108.01,127.55,121.57,116.4,107.96,119.74,109.11,120.84,117.63,111.72,114.58,119.76,125.99,121.09,126.61,114.46,125.65,120.73,123.51,107.62,121.16,112.24,113.42,114.58,115.87,113.71,117.6,115.16,113.54,116.35,126.68,113.96,114.58,126.7,107.34,115.67,119.36,125.78,114.86,121.39,116.99,103.06,114.85,131.76,106.35,115.93,117.61,123.34,113.47,115.14,126.71,118.53,114.57,132.57,117.75,113.4,111.73,116.64,112.06,116.51,125.09,114.27,116.15,115.21,110.21,113.43,112.6,124.68,109.7,117.41,114.59,116.68,116.09,110.87,117.35,109.96,113.98,123.86,113,116.04,118,118.31,123.28,111.64,114.16,105.2,107.15,130.5,112.66,120.34,112.67,124.15,117.18,118.18,121.38,121.45,121.87,115.98,122.6,118.47,126.92,112.3,120.35,118.46,115.53,125.44,106.19,122.78,122.27,112.59,107.83,110.63,117.18,109.61,124.96,119.27,116.64,123.92,114.72,112.38,118.15,111.91,117.68,109.38,113.51,127,109.27,108.68,111.78,121.49,123.59,118.02,112.92,112.9,118.68,106.89,119.48,123.85,117.57,114.9,124.84,125.82,124.56,119.06,114.66,109.82,126.41,125.94,108.93,124.75,125.42,119.27,111.87,122.42,111.25,122.24,124.22,115.96,116.6,130.09,110.47,121.46,108.95,115.34,112.68,108.74,118.56,124.27,120.64,115.17,123.08,126.11,120.96,121.39,111.86,110.97,112.39,130.31,123.58,116.11,121.87,113.37,125.06,120.21,112.35,104.41,117,116.27,122.86,123.61,122.03,121.41,112.93,117.74,123.58,117.71,113.28,118.7,121.54,122.41,120.85,126.32,116,112.48,115.34,117.24,117.48,116.96,112.94,129.64,108.3,107.11,111.55,118.16,113.38,114.09,118.14,119.73,113.42,116.46,116.29,110.99,119.09,117.19,111.49,117.36,121.53,119.81,115.04,113.99,114.47,113.53,126.11,116.82,117.79,120.03,111.36,116.88,121.47,124.52,115.08,117.26,125.04,125.47,114.01,123.86,108.46,115.31,112.44,120.39,116.35,112.79,123.33,118.01,132.21,107.41,113.48,119.45,118.42,113.79,108.04,114.37,122.05,122.82,113.19,115.02,120.38,116.54,107.45,111.04,120.42,121.22,115.25,122.32,115.21,117.76,110.27,115.12,117.08,120.16,112.75,112.03,117.75,115.93,114.23,116.32,132.65,113.19,123.85,121.67,119.03,119.71,118.33,122.92,113.49,113.64,112.39,121.07,121.07,111.54,120.85,123,113.6,117.96,121.68,113.63,117.52,121.62,112.8,119.11,118.45,108.27,108.6,119.27,127.22,125.45,115.65,121.72,115.69,123.91,117.27,116.08,106.29,113.72,117.44,121.23,118.35,116.75,112.77,114.29,117.01,118.15,110.6,126.78,122.36,119.48,122.92,126.25,112.23,112.71,120.86,109.83,110.2,110.8,116.18,117.68,112.24,120.99,113.22,123.97,117.72,115.77,106.48,112.61,108.14,111.43,125.91,122.61,117.05,115.3,114.77,116.32,117.09,117.52,116.05,104.18,119.73,122.29,111.04,120.58,111.71,122.04,128.07,115.87,108.57,115.68,122.41,121.81,114.1,117.76,106.12,113.09,117.57,116.47,116.56,113.44,127.66,109.06,109.19,114.72,107.42,115.28,117.25,123.67,125.09,122.09,124.71,111.61,118.68,110.21,112.11,121.93,118.14,116.96,119.56,128.51,109.16,117.75,110.33,110.29,121.44,119.21,122.18,123.64,110.13,119.69,115.5,134.09,107.59,121.17,116.85,119.04,117.35,124.51,119.92,122.28,120.05,117.83,120.52,127.42,114.49,112.1,121.39,120.64,110.25,112.08,120.12,115.88,121.46,120.15,112.05,117.87,107.24,123.77,118.86,110.98,116.83,111.65,118.51,111.21,106.56,120.55,116.11,113.02,122.87,117.3,111.37,115.99,124.26,121.96,119.47,121.23,115.91,118.82,122.53,121.02,118.83,119.57,118.49,117.26,115.38,120.85,119.66,127.13,112.76,118.66,117.61,112.94,114.77,110.9,116.62,121.04,117.7,105.25,120.63,115.8,114.88,123.52,109.23,116.73,121.99,119.9,125.8,112.92,122.67,113.89,113.29,116.01,122.94,116.19,115.38,115.02,115.49,118.19,119.52,114.38,116.79,110.59,111.64,121.59,122.73,117.61,108.83,101.91,115.05,114.25,111.33,118.37,124.7,122.54,123.97,124.89,116.49,120.79,114.21,111.51,110.48,121.78,112.74,127.52,122.53,108.23,120.06,122.18,112.15,120.67,126.72,118.7,119.2,110.91,123.78,121.56,121.45,120.07,116.05,116.17,116.59,110.82,118.45,118.7,125.02,110.23,119.6,116.97,124.91,119.5,109.82,123.99,118.4,119.22,124.67,116.29,117.87,117.32,123.3,118.68,115.43,111.38,115.24,131.04,121.81,114.23,111.68,122.37,123.33,114.66,106.8,128.32,113.36,114.49,123.09,116.49,118.66,113.48
2,0,-7.8,116.95,114.01,119.92,116.72,116.2,108.8,119.86,110.6,105.94,125.51,119.91,116.91,124.33,114.89,108.11,117.48,113.01,126.47,112.26,128.48,114.04,125.1,116,118.72,116.62,114.45,119.61,124.37,110.66,117.14,116.27,122.25,121.79,119.85,111.97,119.03,118.02,122.61,132.06,119.12,118.19,118.98,116.07,128.82,121.02,106.81,115.22,118.23,107.63,116.85,124.68,119.14,118.78,120.25,117.33,118.08,112.73,117.74,115.56,114.49,114.45,119.33,114.66,111.44,110.48,119.8,119.22,119.81,110.24,110.34,117.02,108.43,112.46,126.38,110.11,118.13,116.69,115.4,111.46,114.9,119.84,120.59,125.71,121.79,123.17,117.15,111.14,115.67,114.34,117.59,123.72,127.14,118.26,119.53,118.82,110.66,125.92,121.46,116.26,115.48,113.42,111.36,122.73,108.16,114.56,118.61,111.88,118.71,112.19,126.22,117.74,121.54,117.11,111.47,111.22,122.26,117.06,126.63,103.47,120.65,126.24,118.46,127.87,123.07,120.32,118.14,120.98,108.89,121.39,124.08,124.88,111.27,120.94,113.24,115.43,118.8,117.94,114.14,112.92,111.39,111.69,113.4,114.48,115.06,111.93,119.91,110,112.23,114.12,121.88,118.66,113.36,121.64,120.83,118.87,112.93,109.57,118.83,112.17,110.66,116.47,109.66,123.25,116.52,125.6,118.38,113.79,116.52,119.75,117.87,115.65,115.24,119.45,113.79,106.31,120.62,114.72,117.46,113.49,115.56,124.57,115.06,124.47,113.62,120.61,115.9,119.37,115,105.21,114.73,119.12,115.27,113.19,123.6,127.55,116.14,113.06,117.59,125.94,114.41,125.6,118.62,123.42,122.24,116.86,119.49,129.2,109.05,111.96,117.76,111.56,111.97,112.66,113.63,101.94,124.89,123.09,115.15,106.55,128.06,112.91,113.32,119.21,107.68,113.9,120.7,119.37,117.26,119.57,120.37,120.24,118.98,114.12,124.48,112.63,107.12,114.03,111.99,114.97,115.64,119.34,116.58,118.37,111.61,118.15,126.32,108.7,124.56,114.36,118.57,119.9,118.5,103.68,114.46,118.98,112.43,121.52,110.49,121.84,117.95,111.39,111.35,117,112.96,113.89,114.63,114.73,122.79,108.96,113.24,118.02,122.25,114.57,119.61,116.64,116.68,119.73,121.19,117.51,116.52,118.55,118.24,125.19,126.1,107.3,119.23,117.3,116.59,118.16,124.82,118.81,110.66,115.54,116.27,122.14,120.98,116.97,121.36,118.91,115.66,120,120.98,125.77,121.86,117.13,115.29,117.8,107.38,118.73,126.85,128.4,111.98,118.34,123.64,119.75,112.77,111.44,120.33,116.21,111.1,119.84,114.13,108.59,122.22,121.08,121.67,118.44,109.86,121.82,118.56,115.14,119.66,117.3,112.65,111.95,119.11,120.58,118.84,116.1,125.69,122.37,108.77,113.52,118.58,111.74,110.25,121.37,113.25,121,115.4,122.21,116.66,116.27,119.94,123.57,104.6,121.54,117.28,121.7,118.96,122.62,112.4,120.43,119.63,118.68,112.31,120.08,113.18,123.72,111.41,118.16,119.61,110.2,116.03,117.98,127.84,116.54,122.52,116.97,120.07,107.35,114.17,114.69,113.19,120.21,106.73,114.89,113.95,115.45,119.25,115.61,122.18,107.29,116.63,116.59,122.49,113.82,112.52,118.95,110.42,117.44,107.7,117.24,123.38,113.46,118.92,112.22,115.98,123.11,115.83,112.68,121.23,114.92,124.87,115.24,113.47,120.19,117.96,115.89,123.78,106.37,119.75,124.79,106.1,112.48,116.55,119.85,116.28,116.94,114.55,114.49,117.96,120,102.59,121.45,123.47,112.5,122.64,115.94,105.44,118.89,113.15,121.78,121.11,113.35,114.48,119.69,118.55,115.5,122.45,117.88,108.63,111.44,117.25,112.78,115.24,120.8,118.76,109.48,110.34,119.04,114.94,109.56,116.15,99.849,120.02,117.18,120.42,113.76,115.59,114.61,132.72,112.2,112.32,108.97,115.55,118.62,119.76,112.8,114.33,111.64,115.05,118.64,116.41,115.3,110.83,115.39,114.68,121.72,113.44,119.75,119.12,109.32,123.84,123.21,105.17,112.05,114.36,126.53,109.18,115.37,117.82,117.29,115.76,115.18,107.79,122.24,116.75,118.29,109.62,116.52,107.36,111.72,115.96,113.21,122.49,113.93,112.81,117.65,115.98,108.91,122.64,113.16,115.73,119.35,110.8,115.67,114.36,115.32,117.55,110.67,106.72,110.34,115.73,112.62,114.18,122.11,106.88,130.71,127.76,109.9,115.99,122.75,119.76,114.7,115.19,120.25,112.92,119.32,119.5,106.26,119.69,116.42,109.46,113.09,118.76,103.48,119.03,111.93,119.28,118.48,114.02,119.36,117.66,111.48,118.1,109.23,117.53,114.17,119.01,120.97,123.84,117.88,114.97,115.94,118.33,121.96,108.57,114.81,112.98,111.85,111.47,110.11,125.35,122.31,113.88,118.42,109.3,122.39,119.46,119,115.35,119.11,116.65,113.07,119.58,117.8,123.2,112.61,117.54,107.59,114.22,108.98,113.28,112.92,115,113.52,115.72,115.96,106.5,114.23,102.97,126.23,121.24,117.77,106.81,113.5,118.23,117.01,128.06,108.94,114.19,125.45,114.42,121.89,123.07,126.36,118.96,113.42,114.9,108.07,116.75,110.44,108.72,116.79,129.17,119.7,108.44,109.98,122.95,125.6,110.43,109.88,113.09,119.89,118.93,115.71,109.74,115.61,113.96,122.34,116.33,115.41,111.11,134.4,108.99,110.37,113.42,120.78,115.24,117.68,112.9,120.09,115.28,119.76,113.11,106.6,111.11,119.46,109.89,116.43,109.26,116.72,117.86,110.5,108.32,106.21,114.27,117.28,116.58,113.89,119,116.31,110.15,110.19,120.23,111.65,124.7,115.13,117.47,124.88,126.82,125.25,111.22,104.26,123.61,116.89,120.19,104.34,130.39,122.15,105.09,122.92,113.32,105.61,124.72,118.92,118.61,110.78,108.12,107.98,123.82,111.61,114.22,126.38,121.91,117.19,127.24,118.98,117.61,117.22,114.15,108.87,119.76,120.18,117.61,113.86,106.43,113.57,118.75,110.97,118.59,118.04,112.26,118.68,118.5,109.57,117.48,118.59,115.58,122.94,125.87,119.66,119.18,112.91,120.94,110.97,110.97,118.87,120.35,126.13,121.08,116.14,117.77,108.29,113.86,120.11,116.66,113.68,108.99,110.63,114.44,113.7,117.9,121.23,116.89,107.59,116.84,123.45,118.08,110.86,120.92,125.28,118.74,108.94,110.85,121.07,113.89,127.87,114.62,112.04,112.76,110.76,117.6,116.3,110.19,114.34,117.98,123.38,116.7,114.42,113.62,120.54,107.36,119.64,106.72,116.69,111.71,113.27,115.37,116.78,118.81,115.15,113.93,119.13,105.22,119.41,110.71,115.09,110.98,118.57,110.89,109.15,110.47,113.33,114.27,111.94,116.43,115.41,125.7,128.05,120.83,114.89,122.19,112.49,110.4,99.721,118.83,121.03,120.45,118.41,105.1,117.43,106.92,116.25,125.47,112.16,107.81,121.64,119.24,123.72,117.17,121.5,116.41,118.69,120.9,123.16,115.28,111.47,111.73,110.56,116.62,118.22,113.35,119.81,120.32,118.93,115.21,119.43,113.22,112.02,112.24,123.47,117.42,116.9,120.25,109.43,115.84,114.87,118.94,119.45,118.59,123.92,116,116.2,130.02,108.87,126.69,115.63,118.9,107.54,114.7,119.48,110.68,114.72,125.4,123.16,118.46,110.09,118.23,116.77,115.44,115.22,120.65,128.13,113.24,113.67,120.99,103.76,110.6,107.16,122.84,115.63,122.09,110.95,108.58,112.48,117.41,106.26,120.81,112.77,113.7,118.5,122.07,120.23,126.15,114.09,121.32,105.58,112.51,119.66,114.82,121.78,115.07,119.16,114.23,111.4,108.92,123.27,128.57,118.5,114.08,121.61,116.03,117.64,111.26,112.2,111.64,123.73,112.43,114.72,120.21,120.27,104.57,121.77,122.47,112.6,117.05,109.65,114.15,113.26,115.19,117.73,114.66,117.93,114.33,119.12,126.08,118.03,119.34,111.41,110.64,115.13,117.18,111.28,114.1,116.3,114.86,121.85,118.91,115.37,114.63,112.09,116.79,120.42,118.99,119.99,113.8,111.67,124.4,118.56,114.77,123.76,112.92,118.98,105.08,117.81,109.56,115.98,118.54,114.96,107.32,123.02,112.28,110.11,123.77,116.63,106.81,116.48,113.63
